,Product_Url,Product_Name,Rat,Price,Rating,Specification,Offer
0,https://www.flipkart.com//samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN&lid=LSTMOBGBKQF3QM4GHWNJ56YXY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGBKQF3QM4GHWN.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,"₹14,999","1,38,119 Ratings & 11,221 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase,37% off
1,https://www.flipkart.com//poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.3,"₹11,999","33,641 Ratings & 3,005 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Dimensity 810 ProcessorOne Year for Handset, 6 Months for Accessories",29% off
2,https://www.flipkart.com//infinix-hot-20-play-luna-blue-64-gb/p/itm1e6903eb0203e?pid=MOBGK23WTVZZ3DDD&lid=LSTMOBGK23WTVZZ3DDDLYVBCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGK23WTVZZ3DDD.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,"₹8,199",637 Ratings & 59 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13Mp + AI Lens | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek G37 Processor1 Year on Handset and 6 Months on Accessories,31% off
3,https://www.flipkart.com//poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"POCO C31 (Shadow Gray, 64 GB)",4.3,"₹7,499","1,83,688 Ratings & 11,185 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 Processor1 Year Warranty for Handset, 6 Months for Accessories",37% off
4,https://www.flipkart.com//redmi-note-12-pro-5g-iceberg-blue-256-gb/p/itmdeba28a40f374?pid=MOBGH2UVAVEDXJPK&lid=LSTMOBGH2UVAVEDXJPK51IYG7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGH2UVAVEDXJPK.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)",No rating find,"₹32,999",No find,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,10% off
5,https://www.flipkart.com//redmi-note-12-pro-5g-obsidian-black-256-gb/p/itm045272629c8bf?pid=MOBGH2UVTFKREUVZ&lid=LSTMOBGH2UVTFKREUVZIZUGGH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGH2UVTFKREUVZ.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)",No rating find,"₹32,999",No find,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,10% off
6,https://www.flipkart.com//poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"POCO M4 Pro 5G (Cool Blue, 128 GB)",4.2,"₹13,999","41,520 Ratings & 3,726 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Dimensity 810 ProcessorOne Year for Handset, 6 Months for Accessories",30% off
7,https://www.flipkart.com//samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itm89d3030e3857e?pid=MOBGBKQFHKZHTHKJ&lid=LSTMOBGBKQFHKZHTHKJIHLFJF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGBKQFHKZHTHKJ.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.2,"₹13,999","32,083 Ratings & 2,613 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase,39% off
8,https://www.flipkart.com//motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGEA3CZ8Z7HWCY.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹9,999","16,997 Ratings & 1,707 Reviews",4 GB RAM | 64 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,41% off
9,https://www.flipkart.com//motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA e40 (Carbon Gray, 64 GB)",4.1,"₹7,999","56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryUNISOC T700 Processor1 Year on Handset and 6 Months on Accessories,27% off
10,https://www.flipkart.com//redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGWJR993&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"REDMI 9i Sport (Coral Green, 64 GB)",4.3,"₹7,199","2,09,377 Ratings & 12,027 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Li-Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,28% off
11,https://www.flipkart.com//samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGHDXFJ2J7568H&lid=LSTMOBGHDXFJ2J7568HAQCIHZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGHDXFJ2J7568H.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,"₹16,999","1,38,119 Ratings & 11,221 Reviews",6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera5000 mAh Battery1 Year Warranty,No offer now
12,https://www.flipkart.com//motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFGEC0C0J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA e40 (Pink Clay, 64 GB)",4.1,"₹7,999","56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryUNISOC T700 Processor1 Year on Handset and 6 Months on Accessories,27% off
13,https://www.flipkart.com//motorola-g62-5g-midnight-gray-128-gb/p/itm37da299ffb2d0?pid=MOBGEDT5ZZMZQZSJ&lid=LSTMOBGEDT5ZZMZQZSJFXDZSQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGEDT5ZZMZQZSJ.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.1,"₹14,999","8,567 Ratings & 933 Reviews",6 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,31% off
14,https://www.flipkart.com//motorola-g32-satin-silver-64-gb/p/itm264e8f39d3934?pid=MOBGEA3CGNUPBCD2&lid=LSTMOBGEA3CGNUPBCD2ASUJ7J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGEA3CGNUPBCD2.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA G32 (Satin Silver, 64 GB)",4.2,"₹9,999","16,997 Ratings & 1,707 Reviews",4 GB RAM | 64 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,41% off
15,https://www.flipkart.com//samsung-galaxy-s21-fe-5g-olive-128-gb/p/itm76e6e65136e17?pid=MOBGCKMEMZE5UJXK&lid=LSTMOBGCKMEMZE5UJXK6LPNPI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGCKMEMZE5UJXK.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",4.4,"₹34,999","29,170 Ratings & 3,007 Reviews",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,53% off
16,https://www.flipkart.com//motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"₹12,999","21,256 Ratings & 2,659 Reviews",6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,35% off
17,https://www.flipkart.com//redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6MSMKC8&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=a9a8c05c-bc80-4de8-bdb4-a7941ce1c456.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=0b2s98n5g00000001673525560136,"REDMI 9i Sport (Carbon Black, 64 GB)",4.3,"₹7,199","2,09,377 Ratings & 12,027 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Li-Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,28% off
